old	newPackage	newName	newPath
OIOI	clap.config	ConfigSupport_OIOI	clap\config\ConfigSupport_OIOI.java
oioi_0	clap.model	DataRecord_oioi_0	clap\model\DataRecord_oioi_0.java
oioi_1	clap.model	DataRecord_oioi_1	clap\model\DataRecord_oioi_1.java
oioi_2	clap.core.module	ModuleCategory	clap\core\module\ModuleCategory.java
oioi_3	clap.model	DataRecord_oioi_3	clap\model\DataRecord_oioi_3.java
oioi_4	clap.model	EnumType_oioi_4	clap\model\EnumType_oioi_4.java
oioi_5	clap.config	ConfigSupport_oioi_5	clap\config\ConfigSupport_oioi_5.java
oioi_6	clap.network	NetworkSupport_oioi_6	clap\network\NetworkSupport_oioi_6.java
OIoO$i0o	clap.support	Support_OIoO_i0o	clap\support\Support_OIoO_i0o.java
OioO$OoO	clap.api	ApiSupport_OioO_OoO	clap\api\ApiSupport_OioO_OoO.java
OIOO	clap.module.player	AutoCollectWaterModule	clap\module\player\AutoCollectWaterModule.java
oioo_0	clap.config	ConfigSupport_oioo_0	clap\config\ConfigSupport_oioo_0.java
oioo_1	clap.model	DataRecord_oioo_1	clap\model\DataRecord_oioo_1.java
oioo_2	clap.module.client	NotificationsModule	clap\module\client\NotificationsModule.java
oioo_3	clap.config	ConfigSupport_oioo_3	clap\config\ConfigSupport_oioo_3.java
oioo_4	clap.model	DataRecord_oioo_4	clap\model\DataRecord_oioo_4.java
oioo_5	clap.model	EnumType_oioo_5	clap\model\EnumType_oioo_5.java
oioo_6	clap.model	EnumType_oioo_6	clap\model\EnumType_oioo_6.java
oio_0	clap.module.render	FullBrightModule	clap\module\render\FullBrightModule.java
oio_1	clap.module.player	WaterBucketModule	clap\module\player\WaterBucketModule.java
oio_2	clap.render	RenderSupport_oio_2	clap\render\RenderSupport_oio_2.java
oio_3	clap.model	DataRecord_oio_3	clap\model\DataRecord_oio_3.java
oio_4	clap.model	DataRecord_oio_4	clap\model\DataRecord_oio_4.java
